CEDEAR-ARS,Ratio,CEDEARD,Subyacente
SPY.BA,20,SPYD.BA,SPY
TSLA.BA,15,TSLAD.BA,TSLA
AAPL.BA,20,AAPLD.BA,AAPL
ADBE.BA,44,ADBED.BA,ADBE
ADGO.BA,1,ADGOD.BA,AGRO
NVDA.BA,24,NVDAD.BA,NVDA
PYPL.BA,8,PYPLD.BA,PYPL
BABA.BA,9,BABAD.BA,BABA
AMD.BA,10,AMDD.BA,AMD
AEM.BA,6,AEMD.BA,AEM
DIA.BA,20,DIAD.BA,DIA
QQQ.BA,20,QQQD.BA,QQQ
MSFT.BA,30,MSFTD.BA,MSFT
AMZN.BA,144,AMZND.BA,AMZN
GOOGL.BA,58,GOOGLD.BA,GOOGL
NIO.BA,4,NIOD.BA,NIO
BRKB.BA,22,BRKBD.BA,BRK-B
AMGN.BA,30,AMGND.BA,AMGN
AVGO.BA,39,AVGOD.BA,AVGO
XLF.BA,2,XLFD.BA,XLF
JNJ.BA,15,JNJD.BA,JNJ
COIN.BA,27,COIND.BA,COIN
META.BA,24,METAD.BA,META
PBR.BA,1,PBRD.BA,PBR
DISN.BA,12,DISND.BA,DIS
BA.BA,24,BAD.BA,BA
BBD.BA,1,BBDD.BA,BBD
INTC.BA,5,INTCD.BA,INTC
EWZ.BA,2,EWZD.BA,MSCI 
XLE.BA,2,XLED.BA,XLE
VALE.BA,2,VALED.BA,VALE
IWM.BA,10,IWMD.BA,IWM
BA.C.BA,4,BA.CD.BA,BAC
BIOX.BA,1,BIOXD.BA,BIOX
BITF.BA,0.2,BITFD.BA,BITF
TEN.BA,1,TEND.BA,TS
CVX.BA,16,CVXD.BA,CVX
FSLR.BA,18,FSLRD.BA,FSLR
GLOB.BA,18,GLOBD.BA,GLOB
UPST.BA,5,UPSTD.BA,UPST
MCD.BA,24,MCDD.BA,MCD
ARKK.BA,10,ARKKD.BA,ARKK
C.BA,3,CD.BA,C
MSTR.BA,20,MSTRD.BA,MSTR
GOLD.BA,2,GOLDD.BA,GOLD
IBM.BA,15,IBMD.BA,IBM
V.BA,18,VD.BA,V
JMIA.BA,1,JMIAD.BA,JMIA
NKE.BA,12,NKED.BA,NKE
UNH.BA,33,UNHD.BA,UNH
JD.BA,4,JDD.BA,JD
HUT.BA,0.2,HUTD.BA,HUT
JPM.BA,15,JPMD.BA,JPM
TSM.BA,9,TSMD.BA,TSM
GILD.BA,4,GILDD.BA,GILD
KO.BA,5,KOD.BA,KO
NFLX.BA,48,NFLXD.BA,NFLX
LLY.BA,56,LLYD.BA,LLY
MELI.BA,120,MELID.BA,MELI
MMM.BA,10,MMMD.BA,MMM
BIDU.BA,11,BIDUD.BA,BIDU
PEP.BA,18,PEPD.BA,PEP
PAAS.BA,3,PAASD.BA,PAAS
OXY.BA,5,OXYD.BA,OXY
PFE.BA,4,PFED.BA,PFE
